,ON_DAY,SUM_VALUES,MAX(AGE1_SEX0),MAX(AGE2_SEX0),MAX(AGE3_SEX0),MAX(AGE1_SEX1),MAX(AGE2_SEX1),MAX(AGE3_SEX1),Class
422,21,78,3,42,2,3,27,1,0
423,43,92,3,54,3,3,28,1,0
425,93,82,1,45,3,4,28,1,0
426,141,59,4,25,3,4,18,5,0
428,136,76,1,54,2,2,14,3,0
429,150,30,1,16,2,3,6,2,0
431,215,82,9,27,4,8,32,2,0
433,225,104,13,32,4,18,33,4,0
436,316,53,3,27,2,3,17,1,0
437,314,85,5,53,1,4,20,2,0
439,142,55,2,26,5,1,17,4,0
440,200,101,9,35,6,12,36,3,0
441,276,59,3,32,3,3,17,1,0
442,354,83,5,39,5,4,28,2,0
445,86,59,5,30,1,3,19,1,0
446,177,91,4,50,3,7,25,2,0
447,192,84,7,33,3,11,29,1,0
450,202,83,4,41,1,7,29,1,0
451,238,128,21,42,4,18,40,3,0
452,36,77,1,45,1,2,25,3,0
454,80,87,5,49,4,2,21,6,0
456,264,110,2,61,4,3,35,5,0
457,36,114,6,63,4,5,31,5,0
458,43,103,4,54,3,4,37,1,0
464,53,128,7,72,1,9,37,2,0
466,266,117,6,54,4,5,45,3,0
467,350,113,6,55,2,6,38,6,0
468,171,118,7,63,4,6,32,6,0
469,213,66,9,26,5,7,16,3,0
473,75,100,5,64,3,2,22,4,0
474,98,92,9,34,2,9,35,3,0
475,200,62,4,25,4,1,22,6,0
477,29,117,5,68,5,3,34,2,0
478,211,53,2,25,1,3,20,2,0
482,22,88,5,36,4,14,25,4,0
483,91,59,3,27,2,7,18,2,0
484,223,123,13,45,2,16,42,5,0
487,89,70,5,25,3,5,28,4,0
493,160,124,8,50,4,11,45,6,0
494,232,102,13,42,3,8,32,4,0
495,46,124,10,51,4,15,41,3,0
498,102,52,2,27,3,2,17,1,0
502,319,114,3,74,2,3,29,3,0
504,39,85,3,40,4,9,25,4,0
505,157,51,2,23,4,2,16,4,0
506,27,122,6,51,6,13,39,7,0
509,78,95,5,40,5,7,37,1,0
511,205,124,8,61,3,8,39,5,0
513,149,78,3,40,6,3,24,2,0
514,158,74,5,37,3,6,20,3,0
515,327,95,3,48,3,13,25,3,0
516,88,68,2,35,3,4,23,1,0
521,278,94,7,42,3,9,30,3,0
522,290,50,3,31,2,1,12,1,0
523,295,45,3,27,2,1,11,1,0
524,312,84,4,52,1,2,22,3,0
527,318,103,2,62,2,1,33,3,0
529,40,88,10,33,5,5,29,6,0
530,181,129,6,50,6,13,50,4,0
531,194,116,10,48,4,8,42,4,0
533,24,119,12,54,5,9,36,3,0
537,137,66,4,33,4,8,16,1,0
540,222,131,13,45,2,22,44,5,0
541,263,78,1,38,3,6,26,4,0
542,35,109,2,66,2,4,34,1,0
543,62,76,5,35,1,2,29,4,0
545,172,63,3,20,5,4,27,4,0
546,193,97,5,44,4,7,32,5,0
549,13,108,9,42,1,8,44,4,0
551,163,51,2,29,4,2,11,3,0
554,128,95,4,55,4,3,27,2,0
555,234,112,14,41,5,17,31,4,0
559,70,92,6,46,2,3,34,1,0
560,265,98,1,59,1,4,31,2,0
562,115,64,4,29,5,5,18,3,0
564,185,131,6,68,4,6,42,5,0
565,268,59,2,30,5,7,14,1,0
566,110,109,8,52,3,7,37,2,0
569,76,81,3,39,3,6,27,3,0
570,206,42,2,20,5,1,11,3,0
571,225,116,12,38,6,17,40,3,0
572,68,98,9,42,3,13,30,1,0
574,32,127,6,60,5,10,43,3,0
577,261,116,5,65,4,7,32,3,0
578,318,112,1,77,3,5,24,2,0
579,87,57,7,26,1,1,19,3,0
580,191,90,3,38,4,9,30,6,0
581,162,101,6,43,4,9,35,4,0
582,81,112,7,58,3,9,31,4,0
583,168,76,5,33,1,6,28,3,0
584,186,130,17,56,3,12,39,3,0
586,336,65,2,28,1,4,27,3,0
588,151,76,3,41,2,4,22,4,0
589,171,113,6,41,7,11,43,5,0
590,219,99,13,33,4,14,32,3,0
591,260,99,5,44,5,10,32,3,0
592,262,75,3,39,4,4,19,6,0
593,275,78,7,37,1,5,26,2,0
596,166,59,4,27,1,3,22,2,0
597,282,70,5,31,3,3,23,5,0
598,287,75,4,36,4,5,21,5,0
599,186,86,2,34,3,8,34,5,0
602,229,129,15,44,3,16,49,2,0
604,326,101,6,53,2,3,35,2,0
605,96,62,1,40,3,3,13,2,0
608,321,105,4,49,4,4,40,4,0
609,17,106,4,51,4,6,38,3,0
610,141,53,2,25,5,3,16,2,0
611,201,127,16,52,8,9,36,6,0
614,324,62,3,30,5,2,20,2,0
617,283,102,2,63,2,6,28,1,0
619,114,52,2,25,3,3,17,2,0
620,138,34,1,21,2,1,8,1,0
622,353,60,2,33,2,3,18,2,0
623,25,99,6,42,5,7,33,6,0
624,131,59,2,29,3,4,20,1,0
629,41,122,12,54,3,11,38,4,0
630,70,55,1,31,1,3,17,2,0
631,78,129,6,78,4,4,35,2,0
632,125,37,3,17,2,1,11,3,0
633,273,69,5,26,5,5,25,3,0
635,341,77,4,44,4,3,21,1,0
637,10,50,2,19,2,4,20,3,0
639,78,102,2,64,4,6,25,1,0
640,19,117,4,58,4,10,40,1,0
642,138,52,2,30,2,3,14,1,0
644,236,128,10,39,6,23,43,7,0
646,50,134,11,67,4,11,40,1,0
647,44,76,1,44,3,5,21,2,0
648,189,114,9,49,6,5,40,5,0
649,259,127,2,59,4,4,52,6,0
650,321,82,6,38,2,4,29,3,0
651,335,90,2,55,2,3,26,2,0
652,42,77,3,34,5,2,30,3,0
653,44,79,6,41,4,7,20,1,0
654,74,102,2,52,3,10,33,2,0
657,212,107,9,43,4,8,36,7,0
658,214,90,5,40,3,12,27,3,0
660,288,102,5,54,3,2,33,5,0
661,292,77,1,42,5,2,26,1,0
662,326,68,1,37,1,6,22,1,0
663,338,112,4,63,3,4,34,4,0
665,18,66,2,34,6,4,17,3,0
666,33,113,9,55,1,7,37,4,0
671,348,123,5,55,4,6,47,6,0
673,64,115,7,51,4,9,43,1,0
675,167,62,2,27,4,7,20,2,0
676,187,126,11,60,4,9,38,4,0
678,49,132,10,53,5,15,46,3,0
0,269,32,1,13,3,1,10,4,0
2,56,77,6,27,5,5,31,3,0
4,165,78,4,34,7,2,22,9,0
5,235,79,11,28,8,11,18,3,0
6,353,43,2,21,3,3,11,3,0
8,104,73,8,27,5,3,24,6,0
9,132,58,1,22,6,3,20,6,0
10,180,78,3,20,15,1,21,18,0
11,212,78,10,26,5,11,24,2,0
13,252,64,3,18,13,5,18,7,0
14,60,31,4,13,4,1,8,1,0
18,187,76,10,25,5,9,24,3,0
19,268,35,1,11,4,2,15,2,0
20,271,45,3,13,7,3,13,6,0
21,4,81,5,19,4,12,35,6,0
22,84,51,2,27,4,1,14,3,0
24,144,75,9,32,3,3,26,2,0
25,228,60,5,17,7,8,16,7,0
27,193,50,3,10,9,3,16,9,0
30,283,40,4,12,2,2,17,3,0
31,92,78,4,28,5,7,29,5,0
32,140,79,7,21,8,7,27,9,0
33,319,32,1,14,1,2,8,6,0
34,307,37,1,19,2,3,10,2,0
35,349,49,5,12,5,6,15,6,0
36,13,50,4,12,1,4,24,5,0
37,22,26,1,13,3,1,6,2,0
38,57,85,4,31,4,3,38,5,0
40,215,65,4,19,3,7,28,4,0
42,223,61,2,21,7,4,14,13,0
44,97,47,1,14,5,4,18,5,0
45,214,64,10,18,7,6,15,8,0
46,242,53,4,12,5,7,19,6,0
47,259,56,3,15,7,4,17,10,0
48,59,47,4,18,3,7,13,2,0
49,26,22,3,10,1,1,6,1,0
50,28,40,3,12,4,2,15,4,0
51,172,53,3,19,2,7,15,7,0
52,275,59,7,23,5,5,13,6,0
53,358,58,4,17,6,8,20,3,0
54,5,83,8,25,3,9,31,7,0
55,212,39,3,12,4,5,13,2,0
56,3,64,6,13,5,6,25,9,0
57,95,33,3,17,1,1,10,1,0
60,156,27,1,9,4,1,7,5,0
61,209,83,10,23,3,10,31,6,0
62,276,32,1,13,5,1,10,2,0
63,302,34,2,15,2,1,12,2,0
64,46,26,2,10,1,5,7,1,0
66,187,75,6,19,13,3,22,12,0
67,324,34,1,15,7,3,7,1,0
68,315,63,1,24,3,5,22,8,0
70,295,60,1,35,5,2,9,8,0
71,350,58,2,27,4,2,22,1,0
72,27,46,2,18,3,4,18,1,0
73,68,32,4,16,3,1,5,3,0
74,202,73,3,25,13,5,13,14,0
75,277,41,2,13,9,2,13,2,0
76,317,65,2,37,4,3,18,1,0
77,48,32,1,12,4,1,11,3,0
78,46,14,3,3,1,1,5,1,0
79,58,35,1,12,6,4,10,2,0
81,278,50,8,16,3,6,15,2,0
82,47,30,2,7,3,6,9,3,0
83,346,30,2,10,6,3,6,3,0
84,16,39,2,19,1,3,12,2,0
85,32,37,3,22,2,3,6,1,0
86,88,31,1,13,5,1,7,4,0
87,98,74,4,34,5,3,24,4,0
89,235,70,4,17,12,5,17,15,0
90,87,39,1,18,4,1,9,6,0
92,219,37,3,13,4,2,11,4,0
93,225,56,3,17,11,5,12,8,0
94,41,64,4,19,5,2,26,8,0
95,145,63,3,21,10,4,17,8,0
96,230,64,6,23,2,6,21,6,0
97,352,42,7,14,2,3,14,2,0
98,12,50,6,13,2,6,19,4,0
99,74,36,2,15,1,4,11,3,0
100,124,80,1,36,5,3,29,6,0
101,194,50,6,16,5,7,14,2,0
102,20,42,1,18,2,3,14,4,0
104,107,54,5,17,8,3,16,5,0
105,302,60,2,26,6,2,14,10,0
106,350,68,2,34,3,3,21,5,0
108,307,38,3,14,3,3,12,3,0
109,45,46,2,12,3,3,21,5,0
110,64,37,2,15,4,2,11,3,0
111,134,80,2,27,13,1,26,11,0
112,122,51,2,23,5,1,17,3,0
114,156,61,2,21,11,5,17,5,0
116,103,52,3,21,4,3,17,4,0
117,228,65,5,18,13,3,14,12,0
118,247,38,3,14,3,6,9,3,0
120,357,36,3,16,3,2,11,1,0
121,76,58,2,29,2,5,14,6,0
123,325,35,1,15,3,5,10,1,0
124,310,55,2,19,4,3,25,2,0
126,89,29,3,10,1,1,13,1,0
129,268,60,1,27,5,2,20,5,0
130,364,45,4,15,3,3,15,5,0
131,329,59,2,29,6,4,16,2,0
132,43,39,3,15,8,2,10,1,0
133,236,65,5,20,7,7,22,4,0
135,342,49,1,24,3,2,14,5,0
136,343,42,2,18,8,2,8,4,0
138,163,82,4,27,7,3,35,6,0
139,328,50,1,24,4,3,12,6,0
140,59,38,2,13,3,5,11,4,0
141,90,84,7,30,4,11,29,3,0
142,72,23,4,9,2,1,6,1,0
144,120,52,2,11,5,2,23,9,0
148,351,65,2,28,7,5,17,6,0
149,72,47,1,18,4,1,18,5,0
152,48,45,3,17,3,6,14,2,0
153,86,48,1,18,5,2,19,3,0
154,130,74,7,21,3,10,27,6,0
158,12,58,7,18,3,3,21,6,0
160,207,74,7,26,5,7,20,9,0
162,314,39,1,20,4,1,12,1,0
163,362,63,6,23,3,6,23,2,0
164,11,59,6,15,1,6,21,10,0
166,15,74,6,31,4,9,19,5,0
167,230,62,3,21,7,6,15,10,0
168,58,35,2,11,5,4,11,2,0
169,137,33,2,10,5,2,9,5,0
170,251,46,4,16,3,7,14,2,0
171,141,39,1,21,5,1,9,2,0
174,175,80,3,24,7,3,37,6,0
176,195,79,10,25,7,9,21,7,0
177,206,54,9,18,2,5,18,2,0
178,241,65,1,25,5,6,22,6,0
181,286,44,3,17,2,2,18,2,0
182,303,37,2,15,2,3,10,5,0
184,99,55,2,23,8,2,14,6,0
185,101,28,1,9,4,3,9,2,0
186,204,70,3,25,12,2,18,10,0
187,224,77,2,17,16,7,18,17,0
188,68,72,5,33,3,2,22,7,0
189,51,46,3,22,4,5,9,3,0
190,115,39,1,23,3,1,10,1,0
191,101,34,3,9,1,2,15,4,0
192,182,86,7,28,9,6,26,10,0
194,361,71,5,28,4,7,24,3,0
195,155,47,1,21,9,2,9,5,0
197,186,70,6,25,5,9,19,6,0
198,227,74,2,15,16,3,17,21,0
199,245,35,1,10,3,1,14,6,0
200,281,67,4,24,3,6,27,3,0
202,121,49,2,17,7,1,15,7,0
203,179,64,11,18,4,7,21,3,0
204,256,33,1,11,6,2,9,4,0
205,359,36,4,16,1,3,10,2,0
207,79,29,1,13,2,1,10,2,0
208,50,40,3,14,5,2,13,3,0
210,121,70,1,19,12,2,25,11,0
211,276,40,7,11,2,3,14,3,0
213,82,48,2,23,7,2,11,3,0
215,237,62,3,14,10,3,16,16,0
216,243,50,3,23,4,2,15,3,0
219,220,58,2,21,6,6,15,8,0
220,231,66,8,20,7,3,21,7,0
221,58,77,4,38,2,8,21,4,0
223,184,71,9,24,7,9,18,4,0
225,323,53,3,24,6,1,17,2,0
226,168,79,5,28,7,3,27,9,0
227,207,63,6,21,8,8,16,4,0
228,275,58,4,13,7,7,17,10,0
229,75,57,1,25,4,2,16,9,0
234,37,20,2,12,1,2,2,1,0
235,131,48,2,12,5,4,21,4,0
236,133,69,3,26,9,2,17,12,0
237,299,52,4,23,4,2,14,5,0
240,141,81,2,27,5,2,36,9,0
242,191,64,6,19,5,9,20,5,0
245,265,80,2,28,7,3,30,10,0
246,281,55,8,22,6,1,15,3,0
247,355,47,3,20,4,6,13,1,0
248,9,68,5,15,6,4,28,10,0
249,62,67,7,28,6,5,18,3,0
250,61,74,3,36,5,4,20,6,0
252,209,70,10,21,6,6,20,7,0
254,222,56,4,20,4,3,20,5,0
255,279,56,1,20,2,4,24,5,0
257,295,70,2,37,2,2,22,5,0
260,260,38,1,17,4,2,13,1,0
261,291,21,1,8,4,1,4,3,0
262,287,60,2,26,2,4,22,4,0
263,59,75,8,31,6,6,19,5,0
264,113,58,2,19,6,4,22,5,0
265,129,77,6,31,5,3,30,2,0
266,135,71,6,30,7,8,16,4,0
267,330,60,1,27,3,6,21,2,0
268,336,72,3,40,5,1,19,4,0
269,14,67,4,29,3,8,18,5,0
270,122,77,2,30,5,4,31,5,0
271,139,67,4,19,9,6,20,9,0
272,205,61,2,13,13,5,16,12,0
275,331,59,1,18,6,9,23,2,0
276,9,76,6,20,3,12,30,5,0
277,93,66,3,28,3,7,24,1,0
279,136,55,5,18,8,1,17,6,0
281,289,60,3,25,6,6,18,2,0
282,269,47,2,23,5,1,8,8,0
283,280,56,3,17,6,4,19,7,0
284,279,69,3,25,3,5,28,5,0
285,36,60,7,21,6,2,21,3,0
286,131,69,4,20,7,6,20,12,0
287,162,48,3,21,2,2,17,3,0
289,189,74,6,21,4,6,29,8,0
290,200,54,2,17,9,7,11,8,0
292,254,32,3,9,5,2,10,3,0
293,3,54,3,16,4,6,18,7,0
296,338,54,1,23,9,3,14,4,0
298,112,60,1,27,8,1,18,5,0
299,186,67,4,22,11,4,16,10,0
300,238,82,2,18,18,4,21,19,0
302,250,38,2,13,5,1,10,7,0
303,83,38,1,22,2,1,11,1,0
304,102,56,1,22,4,7,16,6,0
305,250,51,2,24,3,4,9,9,0
306,34,48,2,14,5,6,16,5,0
307,226,50,4,11,8,5,15,7,0
309,253,66,1,15,11,3,18,18,0
310,283,49,2,22,4,5,14,2,0
313,34,29,1,12,2,4,8,2,0
315,229,71,3,15,14,2,17,20,0
318,199,71,4,22,8,7,17,13,0
319,297,34,1,21,1,1,7,3,0
320,348,39,2,17,5,1,10,4,0
321,50,22,2,9,2,1,6,2,0
325,219,72,5,32,4,4,25,2,0
326,318,33,3,12,2,2,12,2,0
327,18,30,4,15,2,2,5,2,0
328,63,45,2,17,3,2,19,2,0
329,137,57,1,16,6,4,26,4,0
330,213,62,9,19,7,7,13,7,0
332,40,28,3,9,1,5,9,1,0
333,188,71,4,24,4,4,25,10,0
335,326,38,4,13,5,1,9,6,0
336,22,62,3,34,2,4,18,1,0
337,107,33,3,15,5,1,7,2,0
338,147,76,1,30,13,2,20,10,0
340,229,60,5,24,7,3,13,8,0
341,246,64,1,20,12,4,15,12,0
342,126,60,4,17,4,2,23,10,0
343,201,84,10,28,7,8,21,10,0
344,68,57,4,23,3,4,16,7,0
345,96,46,2,23,4,3,10,4,0
346,98,31,1,9,3,2,12,4,0
347,145,43,1,13,8,1,17,3,0
348,342,42,2,21,2,6,9,2,0
349,360,46,6,15,1,7,13,4,0
351,55,79,6,35,3,9,22,4,0
352,39,23,3,8,1,3,6,2,0
353,194,76,8,24,8,4,25,7,0
354,272,71,3,31,4,3,25,5,0
358,232,76,3,23,11,3,21,15,0
359,55,71,1,24,8,5,25,8,0
360,89,72,2,24,8,6,23,9,0
361,108,39,3,18,5,1,10,2,0
365,92,45,4,18,2,2,15,4,0
368,293,37,2,9,5,1,17,3,0
370,83,68,3,28,6,2,24,5,0
371,150,49,1,17,4,3,21,3,0
372,248,58,2,21,8,2,14,11,0
374,45,32,4,15,1,1,8,3,0
375,103,70,6,27,3,9,24,1,0
376,203,69,8,20,3,9,27,2,0
379,43,45,2,25,2,3,12,1,0
380,119,60,2,16,9,2,21,10,0
381,138,67,3,28,8,5,14,9,0
382,159,37,2,22,2,2,6,3,0
383,263,42,1,23,6,1,7,4,0
384,358,49,3,13,6,4,19,4,0
387,10,77,7,21,3,9,30,7,0
388,28,66,3,23,4,3,23,10,0
391,285,52,4,21,3,5,12,7,0
392,12,67,3,23,3,2,27,9,0
393,37,32,4,14,3,1,9,1,0
394,146,44,2,11,9,3,13,6,0
395,273,78,5,30,5,5,26,7,0
396,298,38,1,7,6,1,16,7,0
397,91,47,4,15,1,7,16,4,0
398,118,80,5,33,9,4,22,7,0
400,298,56,1,29,7,1,12,6,0
402,11,82,6,19,4,9,39,5,0
403,148,72,3,21,10,4,24,10,0
405,53,27,2,12,1,2,7,3,0
406,85,53,1,30,4,1,15,2,0
410,308,44,2,18,2,1,14,7,0
411,333,28,2,13,1,1,6,5,0
412,314,74,1,33,7,4,24,5,0
414,78,54,2,22,8,1,17,4,0
415,128,80,8,28,3,8,28,5,0
416,143,48,1,21,6,1,16,3,0
417,181,67,5,24,11,3,13,11,0
420,262,29,2,18,1,2,5,1,0
421,69,79,7,28,4,9,24,7,0
422,173,65,3,31,9,1,13,8,0
423,354,53,4,26,2,2,17,2,0
424,82,71,2,39,6,1,17,6,0
427,123,34,6,9,4,4,10,1,0
428,211,76,3,26,5,4,31,7,0
429,29,50,4,20,3,2,17,4,0
430,56,74,5,29,8,6,21,5,0
431,96,31,2,14,4,2,7,2,0
432,118,55,1,30,2,2,15,5,0
433,114,76,7,31,6,5,23,4,0
434,205,73,10,20,10,4,22,7,0
436,3,69,4,19,4,7,30,5,0
437,345,30,3,11,2,2,8,4,0
438,35,55,3,19,4,3,23,3,0
440,160,64,2,31,9,1,15,6,0
441,80,27,3,9,5,2,6,2,0
444,52,27,3,12,1,3,6,2,0
445,74,32,2,8,4,2,12,4,0
446,27,50,2,28,3,1,15,1,0
447,49,41,6,11,4,3,16,1,0
448,64,54,2,24,4,4,18,2,0
450,127,71,3,19,12,5,22,10,0
451,204,77,11,26,3,8,25,4,0
452,83,75,6,28,2,8,27,4,0
453,154,77,2,28,10,4,21,12,0
456,316,49,3,26,4,3,11,2,0
457,349,44,2,15,4,1,19,3,0
458,90,63,4,31,2,7,18,1,0
459,199,74,3,22,14,4,18,13,0
460,231,60,5,22,3,5,19,6,0
461,261,55,3,22,6,2,16,6,0
462,45,30,1,14,3,1,9,2,0
464,52,51,1,20,7,3,15,5,0
465,82,54,4,23,6,4,13,4,0
466,162,50,2,19,2,3,22,2,0
467,290,27,1,9,2,1,8,6,0
468,42,48,2,24,5,1,13,3,0
469,69,78,2,32,6,1,33,4,0
470,179,63,4,17,10,5,17,10,0
471,244,51,3,15,4,4,20,5,0
473,362,48,5,17,5,3,14,4,0
475,33,70,2,21,8,5,27,7,0
476,301,55,7,21,3,3,19,2,0
477,266,83,4,28,9,4,29,9,0
478,26,44,1,24,5,1,9,4,0
479,48,72,7,29,2,6,26,2,0
480,65,29,2,15,3,2,6,1,0
481,124,42,1,17,1,1,16,6,0
483,42,68,9,21,1,10,22,5,0
485,233,66,5,17,10,7,20,7,0
486,245,56,2,17,9,4,16,8,0
488,13,69,5,24,5,5,24,6,0
489,79,47,1,20,5,3,14,4,0
492,159,65,1,20,9,3,19,13,0
493,271,64,3,19,5,8,23,6,0
495,55,52,3,23,1,5,18,2,0
496,158,43,3,8,9,3,10,10,0
498,239,56,4,18,5,6,16,7,0
499,257,40,2,16,5,4,10,3,0
500,315,52,3,21,6,2,17,3,0
502,30,34,1,17,4,1,10,1,0
503,265,60,3,26,10,1,9,11,0
504,89,69,7,26,1,9,22,4,0
506,227,72,4,24,8,7,20,9,0
507,49,57,3,25,5,3,15,6,0
510,151,32,1,15,6,1,7,2,0
511,208,37,3,13,4,2,11,4,0
512,10,55,6,20,3,7,15,4,0
514,38,31,2,15,4,1,6,3,0
515,77,58,2,33,3,1,12,7,0
519,260,66,2,27,4,1,22,10,0
520,57,67,1,28,6,3,25,4,0
521,304,28,1,11,4,1,9,2,0
522,6,70,4,19,5,8,29,5,0
523,63,63,2,33,3,6,17,2,0
524,190,69,6,24,7,5,21,6,0
525,226,75,8,27,6,5,21,8,0
527,246,56,2,21,12,1,11,9,0
528,313,64,3,23,4,9,21,4,0
529,2,59,6,17,3,6,21,6,0
530,16,44,1,18,8,3,8,6,0
531,73,31,2,10,3,3,8,5,0
532,86,27,3,9,3,4,6,2,0
533,164,79,9,29,6,11,21,3,0
534,203,61,3,22,5,2,18,11,0
535,223,68,3,15,13,5,19,13,0
536,286,47,4,15,2,2,23,1,0
0,46,156,6,112,5,1,29,3,0
1,37,152,8,79,6,9,45,5,0
5,331,95,3,48,3,3,35,3,0
6,334,156,7,89,6,10,42,2,0
7,353,129,2,89,2,1,33,2,0
12,324,129,4,81,4,5,33,2,0
19,53,140,8,87,3,6,32,4,0
21,201,155,5,83,6,9,47,5,0
22,315,129,5,64,4,7,44,5,0
24,124,147,10,72,4,7,50,4,0
25,312,111,1,59,4,6,38,3,0
26,143,154,3,95,7,5,41,3,0
31,49,97,1,61,4,4,25,2,0
32,73,160,3,104,5,4,39,5,0
34,74,153,5,95,5,1,45,2,0
35,93,155,7,85,5,7,49,2,0
37,277,151,4,82,9,6,45,5,0
38,40,146,3,88,8,7,39,1,0
40,141,141,8,79,3,6,41,4,0
44,256,155,4,101,5,1,42,2,0
48,51,140,7,76,7,11,37,2,0
50,154,134,5,62,1,9,50,7,0
52,261,148,9,80,5,7,39,8,0
54,254,128,6,73,4,7,34,4,0
55,338,117,1,75,5,1,33,1,0
56,336,120,5,62,3,6,40,4,0
57,181,152,3,100,5,4,36,4,0
58,298,153,3,88,3,4,52,3,0
59,311,144,7,89,4,4,37,3,0
60,63,98,5,52,3,5,31,2,0
61,75,157,6,114,6,3,27,1,0
63,145,154,4,103,2,5,39,1,0
64,185,155,11,82,4,7,48,3,0
65,226,156,11,69,2,15,54,5,0
67,27,157,1,100,6,7,40,3,0
68,19,151,7,87,4,5,45,3,0
69,110,158,6,98,7,1,40,6,0
70,140,125,5,64,5,6,39,6,0
71,258,148,5,85,7,5,39,7,0
72,304,131,5,74,2,3,45,2,0
73,296,150,3,85,4,8,46,4,0
74,35,115,9,52,4,10,39,1,0
75,49,128,5,67,2,8,43,3,0
76,86,143,1,76,7,12,44,3,0
77,249,157,6,101,3,3,40,4,0
78,63,116,10,52,6,9,36,3,0
79,82,152,5,85,3,6,51,2,0
81,159,125,3,69,5,7,36,5,0
84,291,156,3,91,7,5,49,1,0
85,346,148,2,102,4,2,37,1,0
87,236,158,10,78,6,7,52,5,0
88,340,133,3,88,8,1,31,2,0
90,69,141,4,83,2,4,46,2,0
94,235,136,10,58,2,12,47,7,0
95,263,152,3,92,5,1,47,4,0
96,289,141,4,73,4,6,51,3,0
97,293,157,7,101,4,2,39,4,0
98,297,155,7,91,6,7,43,1,0
100,28,125,7,59,7,9,41,2,0
101,61,155,9,101,2,3,39,1,0
103,200,157,7,87,4,12,45,2,0
104,257,160,6,101,7,3,42,1,0
106,197,150,8,65,4,10,60,3,0
107,19,149,4,100,6,3,34,2,0
108,44,134,3,95,1,2,31,2,0
111,222,156,7,86,6,11,45,1,0
113,277,155,4,102,3,4,37,5,0
114,325,141,2,88,4,1,41,5,0
117,153,153,4,96,5,7,38,3,0
119,333,154,3,106,3,6,34,2,0
120,81,155,4,92,8,4,44,3,0
121,113,105,4,64,2,3,30,2,0
123,207,154,7,70,8,10,53,6,0
125,278,156,3,86,2,4,60,1,0
126,284,158,2,97,6,3,45,5,0
127,299,153,1,83,5,4,57,3,0
129,153,146,12,62,9,9,46,8,0
130,166,153,6,87,9,6,39,6,0
134,52,149,9,87,2,5,43,3,0
140,138,154,5,89,5,5,45,5,0
141,139,123,6,64,4,6,38,5,0
143,275,133,5,90,3,2,32,1,0
144,296,153,3,89,7,6,44,4,0
146,24,155,4,100,8,1,38,4,0
147,48,155,6,88,5,8,46,2,0
148,72,138,2,82,5,7,41,1,0
149,92,143,10,70,5,8,42,8,0
150,111,155,5,100,9,2,36,3,0
151,186,158,9,84,7,14,42,2,0
153,264,149,4,93,7,5,37,3,0
154,329,129,3,71,5,3,45,2,0
155,354,152,4,100,5,2,35,5,0
160,24,128,6,80,5,1,33,3,0
161,76,157,4,105,5,5,35,3,0
162,99,151,5,79,5,6,53,3,0
164,187,148,6,79,7,11,43,2,0
166,105,134,9,64,2,5,49,5,0
167,158,154,5,91,6,5,42,5,0
168,309,148,10,70,4,16,43,5,0
170,34,155,10,94,3,8,39,1,0
171,134,152,4,80,2,8,54,4,0
172,157,150,7,70,1,13,52,7,0
173,180,156,10,77,3,14,46,6,0
175,285,155,3,102,9,4,34,3,0
176,358,128,5,68,3,5,43,4,0
178,208,157,6,82,6,11,47,5,0
179,288,138,5,69,5,1,55,3,0
180,314,113,8,52,4,7,39,3,0
183,81,156,7,86,5,8,45,5,0
185,144,158,9,89,4,6,47,3,0
186,146,158,7,99,1,4,44,3,0
189,100,147,4,86,3,6,44,4,0
190,165,143,8,80,4,10,35,6,0
191,70,132,8,66,7,10,39,2,0
193,51,152,7,96,4,8,36,1,0
194,137,151,3,96,2,4,45,1,0
196,199,152,10,65,2,16,55,4,0
199,96,151,2,99,3,1,41,3,0
204,44,126,7,80,2,2,34,1,0
206,86,136,4,79,5,5,39,4,0
207,169,149,12,72,5,7,46,7,0
210,15,133,7,80,3,4,37,2,0
211,29,99,7,46,2,5,37,2,0
212,160,147,2,68,8,5,57,7,0
215,228,160,9,79,6,14,43,9,0
216,282,152,6,87,5,3,46,5,0
217,287,150,11,65,2,13,56,3,0
218,290,151,1,90,2,2,55,1,0
220,73,156,5,109,5,3,33,1,0
221,223,134,4,72,4,8,43,3,0
223,325,141,4,79,5,4,42,7,0
224,48,103,12,41,3,5,38,4,0
225,168,144,8,65,1,7,54,9,0
226,196,155,10,60,4,12,64,5,0
227,281,122,1,56,5,10,45,5,0
228,303,121,6,70,4,4,34,3,0
231,62,148,1,96,3,3,43,2,0
232,86,148,3,82,7,8,44,4,0
233,174,148,9,87,3,4,40,5,0
239,264,156,4,91,4,2,52,3,0
241,15,121,12,58,2,4,42,3,0
243,75,157,4,101,4,3,44,1,0
244,162,140,8,67,2,6,50,7,0
247,18,146,7,80,5,7,42,5,0
248,57,139,5,76,5,5,45,3,0
249,107,150,4,91,5,8,39,3,0
250,38,137,5,89,7,4,31,1,0
251,55,131,11,57,5,13,39,6,0
253,32,117,8,68,1,3,36,1,0
256,74,152,5,96,4,4,37,6,0
262,299,153,8,85,3,8,45,4,0
263,319,133,2,93,7,3,27,1,0
265,164,152,6,83,1,6,51,5,0
266,188,151,4,78,6,11,48,4,0
268,349,148,5,83,3,5,49,3,0
271,241,155,11,78,5,10,48,3,0
273,345,126,1,70,5,5,44,1,0
277,102,148,4,91,7,2,40,4,0
278,185,145,7,71,7,8,47,5,0
